Ownership_Type,Revenue_Mln,EBITDA_Mln,Debt_Ratio,ROE_Percent,Debt_Ratio_Prev
Public,496.02291868261744,152.39487067516933,2.049388425993595,-4.769033683462368,2.647103044931193
Private,509.034531491154,151.10867696011854,1.9127081744940149,-4.904007908158986,1.3985874351662582
Private,869.4863168727929,233.6563605008432,1.9067548180003193,3.5789919216929746,2.4265499138921713
Public,471.14585528283163,109.90473270469927,2.1527394035771645,-1.2249731926785419,2.049037267216507
Private,545.2321013500418,155.28225584984216,1.5105019208163795,0.6705250237993035,2.0691974611951673
Private,494.7932345442135,104.37767827261408,1.840976485647482,4.925644041387711,2.3073412746235222
Private,324.69829435707015,75.25410842076732,1.344866621703272,4.588090929252399,1.7493631767380817
Private,671.4234221772531,155.72176684858567,1.662083176244221,5.241226142237711,2.010522170949131
Public,612.7899549030161,155.2443422104121,1.4349284728161578,3.7231276617010653,2.2148162852792153
Private,618.654792056457,212.53016218095198,1.5484979824963592,8.794259914675088,1.4700112814563306
Public,363.59188178078915,44.216340630403586,1.7975785127184567,5.885394425581961,1.7231976514599319
Private,710.4191466404149,194.76129141946654,1.0908896583832637,5.52599028749667,0.9941214145281037
Private,289.7223405811579,32.11268836554818,2.5461936378427303,-2.4548362498787775,2.9237382938497922
Private,588.0285640700406,135.2088443727743,0.996991309250149,8.960197374754252,0.7072429059748929
Private,828.5683438714968,234.36585089205835,0.8929056936061339,11.962649123747974,1.2962557537693624
Public,351.41955123039673,89.46188828498575,2.079055436750034,-4.527213875740584,2.092523381920032
Public,415.05534055958424,76.8202156916634,1.8958313469814678,1.8915036041435762,1.675517427374876
Public,514.9477047631461,110.85433345928733,1.8120599085260776,3.678794192340142,1.5887796392591684
Public,424.47865188257015,123.10960669400943,1.81417275463214,-4.789600496326463,1.6751406257263164
Private,267.4004853400801,48.590955542091606,1.4938766135765427,-0.5007884466096666,1.1480638390184268
Public,510.2844462209041,132.98257629477538,1.0513728142570842,0.47132095266302443,1.305611443959151
Private,340.65444294108426,86.3029067328664,1.5379022790968633,1.88856126389142,1.8934395384297842
Private,571.0388645952772,126.46970745867388,1.161419144243944,7.8612736134363335,1.549021175425973
Private,362.0863648649295,144.12019344936553,1.9875598667088756,3.6065922226170795,1.8996146519707806
Private,732.4901607526309,198.97051574610802,1.4264713092489307,3.810513867267879,1.6188506131115914
Private,382.51200614956446,44.99943687095094,1.0872514016037442,11.187835423883921,1.1888131070844101
Private,451.69077256914863,117.58405101152285,1.3393070791735033,0.1452389919672985,1.6467666514662607
Public,622.0275826054504,138.9622340321529,1.706465727137812,-3.7618731351679617,1.9399243748610056
Private,315.3703525349067,100.15342150363227,1.2181377235980126,5.088255114526042,1.345221583345326
Private,534.1189901906195,113.71672908683735,1.0888898022167843,7.441077929083649,0.6313869324147512
Private,696.0714131423642,171.14944224891858,1.6218436057459562,1.9271669097500705,1.6718695925703067
Private,258.87751481581586,77.3440606784654,1.6224832855543614,-4.182192584554521,1.755746229595598
Public,527.6950787798456,153.56764954921445,1.2465284123144351,4.760412582946154,1.138096619111137
Private,538.9824191372635,104.73819460792147,1.2644808471908386,0.9707447209587308,1.2837281774091445
Public,617.2734307665966,145.95582679562543,1.6160249686788182,4.080817897059569,1.326257423675584
Public,314.45739336828774,66.74071556304803,0.7759578292513379,9.892132104279842,0.7796261951205612
Private,301.9315080373585,59.14964619499683,0.7962681128117224,5.810215738524155,1.0480287354598619
Private,578.2912348425347,188.70916471766108,1.140777889373782,4.332176132999663,1.8674957607349714
Public,544.547700984978,146.26146802026838,1.3932764241440765,0.6761480411805323,1.189463647703993
Public,537.5739275518815,102.87138302959426,1.6554537827990023,1.5683324457884655,1.7482615617181072
Public,551.9672314245463,160.93835653250596,2.237678108474776,-0.03599790629449373,2.049237393463214
Public,397.9962917632264,152.55297786612243,1.9288298116010096,-3.387816631814708,2.001059954911032
Private,534.8380545741505,159.5211451573163,1.4200307350182864,5.151893666407243,1.4529111106783281
Private,543.9608709948022,98.00596859985022,1.4904918960486555,1.4852919764934338,1.840359544678455
Private,392.84728729604484,86.10597000235492,0.9987353176810956,4.631498961764203,1.3909711911982177
Public,779.8661766717134,226.63932289759393,1.490743432003805,2.7529614641058853,1.6395888793132352
Public,571.0749381367681,125.0769978937225,1.3556706805399308,1.0489075884224324,1.4213230745086303
Private,321.3044754196027,91.42160455855638,1.6613592801690447,0.04817784260609592,2.117299809954038
Private,598.4830412950745,168.98661165950205,1.0863845282238385,2.7152900964427467,1.240322023482792
Private,353.7977494659018,65.27617557702338,1.7596732571205862,6.81678934178448,2.314605742410632
Private,618.0626905613678,153.02753873879695,2.266369456501289,-3.025164996095125,1.8761598506128534
Public,673.7893368511106,87.41565071105084,1.4456199257715712,1.3358640698496735,2.0802111960703007
Public,376.8976522472434,68.6147220284536,1.7008558610494706,2.0350928438069005,1.6155375507833143
Public,644.5064193866483,154.81240106183307,1.8450719958555561,-0.09756011591693792,1.6191522079979292
Private,561.9171390404747,109.28470521099743,1.299389764057082,3.9419730889436746,1.3859637656556685
Private,623.3090239991735,196.63753859808426,1.6120462409052083,3.9461301728886102,1.3629355149807314
Public,784.5189473980921,160.37620240050722,1.5062962003908975,5.222153527014736,1.7769780488921632
Public,463.1917825995694,104.79683348246776,1.5488380492744158,1.017792162973091,1.5100448926122878
Private,386.93957534637656,100.00340826874643,1.1134951080722668,4.364584413487826,1.299701639522025
Public,366.5728355561715,127.67504111569576,1.5122550871294713,2.076804211509298,1.319053473877985
Private,377.62845725518423,58.51056053431007,1.748999145622725,-5.897756659188554,1.7822682680919448
Private,488.4347435878844,151.18777970084508,2.225571803897521,-7.350147617775825,2.35465133426158
Private,551.1727962224966,138.04902558111382,1.9796354130426035,3.2635394979927472,2.0231201083784596
Private,541.5036198995028,110.83818869867693,2.5765912287557784,-0.6778266895423783,3.1540718762676616
Private,624.0774873554036,167.57195869543267,1.1163262185559752,5.322282132883062,1.39206946673841
